epoch,train_loss,val_loss,iou0,iou1,iou2,miou
1,1.0987,1.0986,0.4004,0.0000,0.0000,0.1335
2,1.0986,1.0986,0.0000,0.0996,0.0000,0.0332
3,1.0986,1.0986,0.3533,0.0000,0.2000,0.1844
4,1.0986,1.0986,0.2860,0.0000,0.3337,0.2066
5,1.0986,1.0986,0.0000,0.0906,0.3340,0.1415
6,1.0986,1.0986,0.2859,0.0000,0.3333,0.2064
7,1.0986,1.0986,0.2860,0.0000,0.3337,0.2066
8,1.0986,1.0986,0.0000,0.0910,0.3337,0.1416
9,1.0986,1.0986,0.0000,0.0000,0.5000,0.1667
10,1.0986,1.0986,0.0000,0.0000,0.5002,0.1667
11,1.0986,1.0986,0.0000,0.0000,0.5000,0.1667
12,1.0986,1.0986,0.0000,0.0000,0.5000,0.1667
13,1.0985,1.0986,0.0000,0.0000,0.5000,0.1667
14,1.0986,1.0987,0.0000,0.0000,0.5000,0.1667
15,1.0985,1.0986,0.0000,0.0000,0.5000,0.1667
16,1.0984,1.0987,0.0000,0.0000,0.5000,0.1667
17,1.0983,1.0987,0.0000,0.0000,0.5000,0.1667
18,1.0984,1.0988,0.0000,0.0000,0.5002,0.1667
19,1.0983,1.0990,0.0000,0.0000,0.5000,0.1667
20,1.0982,1.0992,0.0000,0.0000,0.5002,0.1667
21,1.0982,1.0996,0.0000,0.0000,0.5000,0.1667
22,1.0974,1.0998,0.0000,0.0000,0.5002,0.1667
23,1.0980,1.1003,0.0000,0.0000,0.5005,0.1668
24,1.0981,1.1010,0.0000,0.0000,0.5002,0.1667
25,1.0985,1.1004,0.0000,0.0000,0.5000,0.1667
26,1.0981,1.1003,0.0000,0.0000,0.5002,0.1667
27,1.0986,1.0999,0.0000,0.0000,0.5000,0.1667
28,1.0980,1.1000,0.0000,0.0000,0.5000,0.1667
29,1.0981,1.1001,0.0000,0.0000,0.5000,0.1667
30,1.0985,1.0996,0.0000,0.0000,0.5002,0.1667
