epoch,train_loss,val_loss,iou0,iou1,iou2,miou
1,0.7463,0.4349,0.8829,0.0000,0.0000,0.2943
2,0.5536,0.3709,0.8919,0.0000,0.0006,0.2975
3,0.3604,0.2861,0.8835,0.0000,0.1642,0.3493
4,0.2436,0.2009,0.9460,0.0000,0.8346,0.5935
5,0.1986,0.2147,0.9412,0.0000,0.7546,0.5653
6,0.1794,0.2376,0.9310,0.0000,0.7715,0.5675
7,0.1813,0.2242,0.9315,0.0000,0.7356,0.5557
8,0.1641,0.2360,0.9182,0.0023,0.7601,0.5602
9,0.1518,0.1796,0.9359,0.0033,0.8361,0.5918
10,0.1393,0.2000,0.9230,0.0147,0.6555,0.5311
11,0.1213,0.1684,0.9349,0.1332,0.6281,0.5654
12,0.1069,0.1467,0.9481,0.5957,0.6798,0.7412
13,0.0993,0.1081,0.9642,0.5511,0.8069,0.7741
14,0.1013,0.1166,0.9598,0.5726,0.8141,0.7821
15,0.0836,0.1480,0.9508,0.5600,0.7141,0.7416
16,0.0882,0.1142,0.9622,0.5855,0.8398,0.7958
17,0.0852,0.1077,0.9634,0.5973,0.6855,0.7487
18,0.0919,0.1200,0.9593,0.5757,0.8056,0.7802
19,0.0802,0.1358,0.9523,0.5641,0.7658,0.7607
20,0.0807,0.1381,0.9574,0.6088,0.6568,0.7410
21,0.0769,0.0987,0.9698,0.7063,0.8274,0.8345
22,0.0792,0.1003,0.9682,0.6640,0.8504,0.8275
23,0.0843,0.1056,0.9657,0.6391,0.7672,0.7907
24,0.0800,0.1041,0.9686,0.6773,0.8401,0.8287
25,0.0781,0.1052,0.9660,0.6917,0.8140,0.8239
26,0.0817,0.1503,0.9477,0.6237,0.6987,0.7567
27,0.0771,0.1027,0.9691,0.7381,0.7765,0.8279
28,0.0831,0.1081,0.9653,0.7046,0.8034,0.8244
29,0.0792,0.0907,0.9725,0.7254,0.8644,0.8541
30,0.0713,0.1110,0.9653,0.6508,0.8143,0.8102
